Movie Title,Release Date,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
10 Cloverfield Lane,08-03-2016,Thriller,Dan Trachtenberg,,Mary Elizabeth Winstead,John Goodman,John Gallagher,,,$15000000,"$108,300,000.00"
13 Hours: The Secret Soldiers of Benghazi,15-01-2016,Action,Michael Bay,,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,$45000000,"$69,400,000.00"
2 Guns,02-08-2013,Action,Baltasar KormÃ¡kur,,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,$61000000,"$131,900,000.00"
21 Jump Street,16-03-2012,Comedy,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,"$55,000,000.00","$201,500,000.00"
22 Jump Street,04-06-2014,Action,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,,,"$84,500,000.00","$331,300,000.00"
300: Rise of an Empire,04-03-2014,Action,Noam Murro,,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,"$110,000,000.00","$337,600,000.00"
42,12-04-2013,Biography,Brian Helgeland,,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,"$40,000,000.00","$97,500,000.00"
71,07-02-2014,Action,Yann Demange,,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,,"$8,100,000.00","$2,900,000.00"
90 Minutes in Heaven,11-09-2015,Drama,Michael Polish,,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,,"$5,000,000.00","$4,800,000.00"
A Good Day to Die Hard,14-02-2013,Action,John Moore,,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje BukviÄ‡,"$92,000,000.00","$304,700,000.00"
A Haunted House,11-01-2013,Comedy,Michael Tiddes,,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,"$2,500,000.00","$60,100,000.00"
